Date;Axe;Départ;Arrivée;Nombre de trains programmés;Nombre de trains ayant circulé;Nombre de trains annulés;Nombre de trains en retard à l'arrivée;Régularité;Commentaires
2014-03;Nord;PARIS NORD;DOUAI;196;196;0;11;94.4;
2014-03;Sud-Est;PARIS LYON;GRENOBLE;259;259;0;21;91.9;
2014-03;Atlantique;LAVAL;PARIS MONTPARNASSE;243;243;0;14;94.2;
2014-03;Atlantique;PARIS MONTPARNASSE;ANGERS SAINT LAUD;435;435;0;25;94.3;
2014-03;Nord;LYON PART DIEU;LILLE;247;247;0;50;79.8;Défaut d'alimentation électrique à Montanay le 01. Agression d'un agent à Lyon impactant les 01 et 02. Vol de câbles aux Mazes le 01 et à Lille le 29. Problème matériel à Arsy le 02. Heurt d'un animal à St Georges d'Espéranche le 13 et à Cluny le 21. Dérangement d'installations au Creusot du 16 au 18 et à Macon le 24. Accident de personne à Aix le 17 et à Vallauris le 21. Incendie dans le tunnel de Marseille le 26. Nombreuses limitations de vitesse pour travaux, notamment à Lapalud les 12, 13 et 14.
2014-03;Nord;LILLE;PARIS NORD;615;613;2;63;89.7;
2014-03;Sud-Est;MONTPELLIER;LYON PART DIEU;397;395;2;66;83.3;
2014-03;Sud-Est;PARIS LYON;LYON PART DIEU;626;626;0;18;97.1;
2014-03;Est;PARIS EST;METZ;306;306;0;4;98.7;
2014-03;Atlantique;ANGOULEME;PARIS MONTPARNASSE;328;327;1;39;88.1;
2014-03;Atlantique;PARIS MONTPARNASSE;ANGOULEME;329;329;0;21;93.6;
2014-03;Sud-Est;PARIS LYON;MULHOUSE VILLE;310;310;0;15;95.2;
2014-03;Sud-Est;VALENCE ALIXAN TGV;PARIS LYON;273;273;0;39;85.7;
2014-03;Sud-Est;PARIS LYON;VALENCE ALIXAN TGV;268;268;0;21;92.2;
2014-03;Nord;ARRAS;PARIS NORD;339;338;1;38;88.8;
2014-03;Nord;PARIS NORD;ARRAS;338;338;0;11;96.7;
2014-03;Atlantique;PARIS MONTPARNASSE;VANNES;168;168;0;10;94.0;
2014-03;Atlantique;PARIS MONTPARNASSE;BORDEAUX ST JEAN;646;646;0;39;94.0;
2014-04;Sud-Est;CHAMBERY CHALLES LES EAUX;PARIS LYON;229;229;0;30;86.9;Le TGV 9240 du 25 avril est arrivé à Paris avec 6h27min de retard suite à un accident de personne au Creusot
2014-04;Nord;DUNKERQUE;PARIS NORD;110;110;0;5;95.5;
2014-04;Sud-Est;GRENOBLE;PARIS LYON;236;236;0;16;93.2;
2014-04;Atlantique;LAVAL;PARIS MONTPARNASSE;236;236;0;7;97.0;
